Day,Trading Profit (Accumulated) (USD),Operating Expense (Accumulated) (USD),Net Profit (Accumulated) (USD)
60,11733030,4855654,6863376
61,11885136,5211539,6659597
62,11989429,5391837,6583592
63,12562079,5508754,7039325
64,12631714,5591608,7026106
65,13243414,5691033,7538381
66,13478340,5773249,7691091
67,13801537,5874670,7905532
68,13886823,5980024,7885464
69,14140647,6050336,8068976
70,14362044,6118417,8222292
71,14497315,6420851,8055129
72,14745951,6512746,8211870
73,14919505,6630480,8267690
74,15133105,6707828,8403942
75,15265679,6785176,8459168
76,15507892,6879547,8607010
77,15754066,6954954,8777777
78,16565283,7068491,9475457
79,17240441,7210770,10008336
80,17811321,7286553,10503433
81,18496412,7383570,11091507
82,19242050,7468500,11752215
83,19248861,7597357,11608169
84,19479966,7678071,11758560
85,19606087,7827659,11735093
86,19626090,7912827,11662428
87,19673426,7970429,11610662
88,19852913,8034237,11726341
89,19932709,8095375,11744999
90,19995878,8150887,11752656
